2025-04-15 14:57:12,267 INFO    MainThread:36600 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-15 14:57:12,268 INFO    MainThread:36600 [wandb_setup.py:_flush():67] Configure stats pid to 36600
2025-04-15 14:57:12,268 INFO    MainThread:36600 [wandb_setup.py:_flush():67] Loading settings from C:\Users\meteh\.config\wandb\settings
2025-04-15 14:57:12,268 INFO    MainThread:36600 [wandb_setup.py:_flush():67] Loading settings from C:\Users\meteh\OneDrive\Desktop\federated_learning_hospital_data\wandb\settings
2025-04-15 14:57:12,268 INFO    MainThread:36600 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-15 14:57:12,268 INFO    MainThread:36600 [wandb_init.py:setup_run_log_directory():662] Logging user logs to C:\Users\meteh\OneDrive\Desktop\federated_learning_hospital_data\wandb\run-20250415_145712-is9sqatr\logs\debug.log
2025-04-15 14:57:12,268 INFO    MainThread:36600 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to C:\Users\meteh\OneDrive\Desktop\federated_learning_hospital_data\wandb\run-20250415_145712-is9sqatr\logs\debug-internal.log
2025-04-15 14:57:12,268 INFO    MainThread:36600 [wandb_init.py:init():781] calling init triggers
2025-04-15 14:57:12,268 INFO    MainThread:36600 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'strategy': 'FedAvg', 'num_rounds': 5, '_wandb': {}}
2025-04-15 14:57:12,268 INFO    MainThread:36600 [wandb_init.py:init():809] starting backend
2025-04-15 14:57:12,268 INFO    MainThread:36600 [wandb_init.py:init():813] sending inform_init request
2025-04-15 14:57:12,314 INFO    MainThread:36600 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-15 14:57:12,314 INFO    MainThread:36600 [wandb_init.py:init():823] backend started and connected
2025-04-15 14:57:12,315 INFO    MainThread:36600 [wandb_init.py:init():915] updated telemetry
2025-04-15 14:57:12,350 INFO    MainThread:36600 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-15 14:57:12,716 INFO    MainThread:36600 [wandb_init.py:init():1014] starting run threads in backend
2025-04-15 14:57:13,176 INFO    MainThread:36600 [wandb_run.py:_console_start():2454] atexit reg
2025-04-15 14:57:13,176 INFO    MainThread:36600 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-15 14:57:13,176 INFO    MainThread:36600 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-15 14:57:13,176 INFO    MainThread:36600 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-15 14:57:13,179 INFO    MainThread:36600 [wandb_init.py:init():1056] run started, returning control to user process
